"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"618",641540,"Dunning, Dane","0",,"0.307","0.151","0.371","0.458","0.331","0.313","0.275","69","225","90.3","6.6","2042","87.5","87.59","74","395","223","0.1","6.48","113","155","119","148","299","328","297"
"615",489119,"Miley, Wade","0",,"0.265","0.160","0.291","0.424","0.295","0.310","0.275","63","238","86.5","8.0","2164","85.0","84.38","83","426","189","-0.6","6.07","109","151","114","146","297","318","286"
"610",548389,"Stripling, Ross","0",,"0.281","0.271","0.289","0.552","0.347","0.358","0.280","57","203","91.4","16.2","2198","87.7","87.43","80","416","194","-0.3","5.98","108","156","122","147","298","315","287"
"609",570632,"Ureña, José","0",,"0.311","0.250","0.299","0.561","0.367","0.367","0.313","71","228","93.1","10.5","2104","91.1","91.04","50","413","196","-0.1","6.32","109","154","115","149","302","327","298"
"602",456501,"Cueto, Johnny","0",,"0.311","0.216","0.330","0.527","0.354","0.333","0.289","69","222","87.5","11.1","2098","88.1","84.99","83","439","163","-3.1","5.74","109","156","114","150","297","320","294"
"600",607231,"Gant, John","0",,"0.256","0.113","0.286","0.369","0.269","0.331","0.300","52","203","90.2","9.9","2287","87.3","87.04","69","399","201","-0.3","6.35","112","154","115","148","297","317","297"
"596",605164,"Bundy, Dylan","0",,"0.332","0.327","0.318","0.658","0.411","0.356","0.288","65","196","90.6","14.9","2380","85.8","84.94","55","369","227","-0.9","5.92","114","157","117","149","305","326","300"
"594",571510,"Boyd, Matthew","0",,"0.263","0.146","0.283","0.409","0.288","0.296","0.254","52","198","88.7","18.3","2250","86.0","85.77","76","409","185","-0.2","6.21","104","153","117","146","300","328","299"
"582",605483,"Snell, Blake","0",,"0.283","0.245","0.311","0.527","0.345","0.377","0.305","52","184","88.7","9.3","2334","91.5","91.90","68","366","216","0.4","6.80","113","153","124","146","299","323","311"
"581",518516,"Bumgarner, Madison","0",,"0.264","0.244","0.281","0.508","0.323","0.320","0.261","51","193","90.7","22.9","2508","86.3","86.32","67","389","192","0.0","6.54","108","153","119","149","306","332","301"
"569",642092,"Smith, Riley","0",,"0.336","0.258","0.333","0.594","0.393","0.365","0.312","73","217","90.8","8.6","2191","89.5","89.50","43","388","181","0.0","6.36","110","152","118","150","302","329","302"
"565",607644,"Means, John","0",,"0.211","0.195","0.212","0.405","0.260","0.309","0.248","40","190","88.2","20.7","2367","87.5","86.98","105","407","158","-0.5","6.13","107","153","118","149","303","324","293"
"564",594798,"deGrom, Jacob","0",,"0.183","0.136","0.242","0.319","0.211","0.229","0.199","35","191","90.7","15.3","2397","96.9","98.04","124","423","141","1.1","6.90","118","155","113","151","298","326","299"
"558",547942,"Kim, Kwang Hyun","0",,"0.279","0.158","0.290","0.437","0.306","0.321","0.282","53","190","89.4","10.1","2077","84.3","85.19","55","360","198","0.9","6.71","110","154","118","147","299","316","293"
"551",664299,"Javier, Cristian","0",,"0.192","0.203","0.200","0.395","0.249","0.316","0.244","34","177","93.0","23.7","2392","89.6","88.99","96","390","161","-0.6","5.95","113","156","117","151","290","327","294"
"551",607200,"Fedde, Erick","0",,"0.286","0.184","0.304","0.470","0.325","0.355","0.304","53","185","89.1","5.7","1971","90.0","90.77","50","371","180","0.8","6.71","109","153","120","144","300","322","300"
"539",660271,"Ohtani, Shohei","0",,"0.237","0.158","0.283","0.395","0.266","0.277","0.237","42","177","89.6","10.1","2203","90.4","90.99","88","366","173","0.6","6.79","113","157","117","153","304","326","299"
"538",663465,"Allard, Kolby","0",,"0.255","0.217","0.248","0.473","0.308","0.320","0.263","47","184","89.5","18.1","2130","88.3","87.86","60","388","150","-0.4","6.13","114","156","121","147","302","327","291"
"537",656427,"Flaherty, Jack","0",,"0.232","0.179","0.252","0.411","0.272","0.337","0.273","39","168","90.6","14.7","2296","89.5","89.93","74","361","176","0.4","6.76","114","158","119","149","297","318","296"
